"price","mileage","year","model","date","origin","website_id","car_id","perthousand_mileage","predicted","residuals"
7994,104087,"2008","Scion xB","2020-12-17","cars",2,1,104.087,7038.52750031603,955.472499683955
9780,95026,"2015","Scion xB","2020-12-17","cars",2,1,95.026,11300.2805080047,-1520.2805080047
8749,110080,"2012","Scion xB W/CERTIFIED PROTECTION","2020-12-17","cars",2,1,110.08,8245.11083327308,503.889166726905
11599,73439,"2013","Scion xB","2020-12-17","cars",2,1,73.439,10119.229059166,1479.77094083395
6290,148000,"2009","Scion xB","2020-12-17","cars",2,1,148,6232.76000686672,57.2399931332665
9998,93012,"2010","Scion xB","2020-12-17","cars",2,1,93.012,8508.36213515179,1489.63786484819
10000,73000,"2014","Scion xB Base","2020-12-17","cars",2,1,73,10761.8854385971,-761.885438597157
3999,178972,"2006","Scion xB","2020-12-17","cars",2,1,178.972,4366.66424665958,-367.664246659593
10990,87467,"2012","Scion xB","2020-12-17","cars",2,1,87.467,9007.40282940113,1982.59717059885
12990,61041,"2013","Scion xB","2020-12-17","cars",2,1,61.041,10537.1698970909,2452.83010290906
7749,125346,"2011","Scion xB","2020-12-17","cars",2,1,125.346,7692.11430812596,56.8856918740215
9990,100343,"2009","Scion xB","2020-12-17","cars",2,1,100.343,7839.29384401679,2150.70615598319
6333,91000,"2008","Scion xB","2020-12-17","cars",2,1,91,7479.69476486863,-1146.69476486864
10950,59839,"2014","Scion xB","2020-12-17","cars",2,1,59.839,11205.547268564,-255.547268564048
10599,97249,"2014","Scion xB","2020-12-17","cars",2,1,97.249,9944.44332060708,654.556679392901
8988,88438,"2015","Scion xB","2020-12-17","truecar",3,1,88.438,11522.3642505639,-2534.36425056392
8450,48200,"2013","Scion xB","2020-12-17","truecar",3,1,48.2,10970.0444171582,-2520.04441715818
6500,104020,"2008","Scion xB","2020-12-17","truecar",3,1,104.02,7040.78609332627,-540.786093326287
6997,152000,"2009","Scion xB","2020-12-17","truecar",3,1,152,6097.91863312099,899.081366878998
5999,109040,"2009","Scion xB","2020-12-17","truecar",3,1,109.04,7546.11498715014,-1547.11498715015
8491,63103,"2013","Scion xB","2020-12-17","truecar",3,1,63.103,10467.659168925,-1976.65916892502
6999,134293,"2013","Scion xB","2020-12-17","truecar",3,1,134.293,8067.81981968535,-1068.81981968537
8382,67953,"2013","Scion xB","2020-12-17","truecar",3,1,67.953,10304.1640032583,-1922.16400325832
6999,139916,"2012","Scion xB","2020-12-17","truecar",3,1,139.916,7239.32902650367,-240.329026503687
5888,132986,"2011","Scion xB","2020-12-17","truecar",3,1,132.986,7434.56728427162,-1546.56728427163
5999,134991,"2011","Scion xB","2020-12-17","truecar",3,1,134.991,7366.97804568157,-1367.97804568158
5500,153998,"2008","Scion xB","2020-12-17","truecar",3,1,153.998,5356.01054906024,143.989450939749
6333,91000,"2008","Scion xB","2020-12-17","truecar",3,1,91,7479.69476486863,-1146.69476486864
9950,92115,"2014","Scion xB","2020-12-17","truecar",3,1,92.115,10117.5122238097,-167.512223809744
8888,56112,"2013","Scion xB","2020-12-17","truecar",3,1,56.112,10703.3281798891,-1815.32817988912
